#Item	Label	Description	Site on enwiki
Q2155219	Blaydon railway station		Blaydon railway station
Q2781169	MetroCentre railway station		MetroCentre railway station
Q5021911	Callerton Parkway	metro station in Tyne & Wear	Callerton Parkway Metro station
Q5367774	Elswick railway station		Elswick railway station
Q5438738	Fawdon	Metro station in Tyne & Wear	Fawdon Metro station
Q6392072	Kenton Bank railway station		Kenton Bank railway station
Q6413575	Kingston Park	metro station in Tyne & Wear	Kingston Park Metro station
Q7017204	Newburn railway station		Newburn railway station
Q7435818	Scotswood railway station		Scotswood railway station
Q7593500	St James	metro station in Tyne & Wear	St James Metro station
Q7968068	Wansbeck Road	metro station in Tyne & Wear	Wansbeck Road Metro station
