#Item	Label	Description	Site on enwiki
Q678990	Dunston railway station		Dunston railway station
Q2047417	Newcastle railway station	mainline railway station in Newcastle upon Tyne, England	Newcastle railway station
Q2155219	Blaydon railway station		Blaydon railway station
Q2781169	MetroCentre railway station		MetroCentre railway station
Q4890212	Bensham railway station		Bensham railway station
Q5061864	Central Station	metro station in Tyne & Wear	Central Station Metro station
Q5367774	Elswick railway station		Elswick railway station
Q5527160	Gateshead	metro and bus station in Tyne & Wear	Gateshead Interchange
Q5527174	Gateshead railway station		Gateshead railway station
Q5686995	Haymarket	metro station in Tyne & Wear	Haymarket Metro station
Q6906821	Monument	metro station in Tyne & Wear	Monument Metro station
Q7017204	Newburn railway station		Newburn railway station
Q7435818	Scotswood railway station		Scotswood railway station
Q7593500	St James	metro station in Tyne & Wear	St James Metro station
