#Item	Label	Description	Site on enwiki
Q934808	Heighington railway station		Heighington railway station
Q1977110	Seaham railway station		Seaham railway station
Q2203193	Shildon railway station		Shildon railway station
Q2347286	Bishop Auckland railway station		Bishop Auckland railway station
Q2367499	Heworth	metro and bus station in Tyne & Wear	Heworth Interchange
Q2407800	Durham railway station		Durham railway station
Q2609531	Newton Aycliffe railway station		Newton Aycliffe railway station
Q2642125	Chester-le-Street railway station		Chester-le-Street railway station
Q2669414	Sunderland	mainline and metro station in Tyne & Wear	Sunderland station
Q4713810	Aldin Grange for Bearpark railway station		Aldin Grange for Bearpark railway station
Q4769153	Annfield Plain railway station		Annfield Plain railway station
Q4831047	Aycliffe railway station		Aycliffe railway station
Q6692864	Low Fell railway station		Low Fell railway station
Q6859477	Millfield	metro station in Tyne & Wear	Millfield Metro station
Q7127895	Pallion	metro station in Tyne & Wear	Pallion Metro station
Q7137876	Park Lane	Metro station in Tyne & Wear	Park Lane Interchange
Q7440231	Seaburn	metro station in Tyne & Wear	Seaburn Metro station
Q7566823	South Church railway station		South Church railway station
Q7567520	South Hylton	metro station in Tyne & Wear	South Hylton Metro station
Q7595326	St Peter's	metro station in Tyne & Wear	St Peter's Metro station
Q7596509	Stadium of Light	metro station in Tyne & Wear	Stadium of Light Metro station
Q7894829	University	metro station in Tyne & Wear	University Metro station
Q7901913	Ushaw Moor railway station		Ushaw Moor railway station
Q7974148	Waterhouses (County Durham) railway station		Waterhouses (County Durham) railway station
Q7984341	West Auckland railway station		West Auckland railway station
Q7986583	West Stanley railway station		West Stanley railway station
Q15206234	Byers Green railway station		Byers Green railway station
Q15212050	Crook railway station		Crook railway station
Q15217618	Ferryhill railway station		Ferryhill railway station
Q15255225	Monkwearmouth Station Museum		Monkwearmouth Station Museum
