#Item	Label	Description	Site on enwiki
Q934808	Heighington railway station		Heighington railway station
Q1868098	Dinsdale railway station		Dinsdale railway station
Q2054892	Teesside Airport railway station		Teesside Airport railway station
Q2184547	Allens West railway station		Allens West railway station
Q2203193	Shildon railway station		Shildon railway station
Q2239157	Eaglescliffe railway station		Eaglescliffe railway station
Q2286393	Darlington railway station		Darlington railway station
Q2347286	Bishop Auckland railway station		Bishop Auckland railway station
Q2432748	North Road railway station		North Road railway station
Q2609531	Newton Aycliffe railway station		Newton Aycliffe railway station
Q2733475	Yarm railway station		Yarm railway station
Q4697410	Ainderby railway station		Ainderby railway station
Q4831047	Aycliffe railway station		Aycliffe railway station
Q4861422	Barnard Castle railway station		Barnard Castle railway station
Q4973755	Brompton Road Halt railway station		Brompton Road Halt railway station
Q5054074	Catterick Bridge railway station		Catterick Bridge railway station
Q5054075	Catterick Camp railway station		Catterick Camp railway station
Q5187481	Croft Spa railway station		Croft Spa railway station
Q5396254	Eryholme railway station		Eryholme railway station
Q6919042	Moulton (North Yorkshire) railway station		Moulton (North Yorkshire) railway station
Q7331056	Richmond railway station		Richmond railway station (North Yorkshire)
Q7435436	Scorton railway station		Scorton railway station
Q7439362	Scruton railway station		Scruton railway station
Q7566823	South Church railway station		South Church railway station
Q7984341	West Auckland railway station		West Auckland railway station
