#Item	Label	Description	Site on enwiki
Q951589	Ulleskelf railway station		Ulleskelf railway station
Q2087472	Cattal railway station		Cattal railway station
Q2187296	Starbeck railway station		Starbeck railway station
Q2269429	York railway station		York railway station
Q2602787	Pannal railway station		Pannal railway station
Q2660162	Hammerton railway station		Hammerton railway station
Q2698559	Harrogate railway station		Harrogate railway station
Q2848537	Knaresborough railway station		Knaresborough railway station
Q3015678	Weeton railway station		Weeton railway station
Q4342481	Hornbeam Park railway station		Hornbeam Park railway station
Q4734053	Alne railway station		Alne railway station
Q4797613	Arthington railway station		Arthington railway station
Q5147270	Collingham Bridge railway station		Collingham Bridge railway station
Q5327532	Easingwold railway station		Easingwold railway station
Q5666416	Harrogate Line		Harrogate Line
Q7229551	Poppleton railway station		Poppleton railway station
Q7372267	Rowntree Halt railway station		Rowntree Halt railway station
Q7629239	Stutton railway station		Stutton railway station
Q7674420	Tadcaster railway station		Tadcaster railway station
Q7990078	Wetherby (York Road) railway station		Wetherby (York Road) railway station
Q7990079	Wetherby railway station	railway station in Wetherby, Leeds, United Kingdom	Wetherby (Linton Road) railway station
Q7990086	Wetherby Racecourse railway station		Wetherby Racecourse railway station
Q8055616	York old railway station		York old railway station
