#Item	Label	Description	Site on enwiki
Q3072111	St. Neots railway station		St. Neots railway station
Q4664270	Abbots Ripton railway station		Abbots Ripton railway station
Q4862030	Barnwell railway station		Barnwell railway station
Q4930786	Bluntisham railway station		Bluntisham railway station
Q4983007	Buckden railway station		Buckden railway station
Q5458856	Fletton railway station		Fletton railway station
Q5576744	Godmanchester railway station		Godmanchester railway station
Q5592482	Grafham railway station		Grafham railway station
Q5883422	Holme railway station		Holme (Cambridgeshire) railway station
Q5945150	Huntingdon railway station		Huntingdon railway station
Q6410015	Kimbolton railway station		Kimbolton railway station
Q7079643	Offord and Buckden railway station		Offord and Buckden railway station
Q7110517	Oundle railway station		Oundle railway station
Q7290213	Ramsey East railway station		Ramsey East railway station
Q7290237	Ramsey North railway station		Ramsey North railway station
Q7296229	Raunds railway station		Raunds railway station
Q7559932	Somersham railway station		Somersham railway station
Q7590059	St. Mary's (Cambridgeshire) railway station		St. Mary's (Cambridgeshire) railway station
Q7593402	St Ives (Cambridgeshire) railway station		St Ives (Cambridgeshire) railway station
Q7654067	Swavesey railway station		Swavesey railway station
Q7796722	Thorpe railway station		Thorpe railway station
Q7797127	Thrapston Bridge Street railway station		Thrapston Bridge Street railway station
Q7797128	Thrapston Midland Road railway station		Thrapston Midland Road railway station
Q7968850	Warboys railway station		Warboys railway station
Q8050495	Yaxley and Farcet railway station		Yaxley and Farcet railway station
