#Item	Label	Description	Site on enwiki
Q2620884	Waterbeach railway station		Waterbeach railway station
Q2915277	Meldreth railway station		Meldreth railway station
Q2951467	Foxton railway station		Foxton railway station
Q3072111	St. Neots railway station		St. Neots railway station
Q3088356	Cambridge railway station	station in Cambridge, UK	Cambridge railway station
Q4387174	Shelford railway station		Shelford railway station
Q4762519	Shepreth railway station		Shepreth railway station
Q4930786	Bluntisham railway station		Bluntisham railway station
Q4949028	Bottisham and Lode railway station		Bottisham and Lode railway station
Q4983007	Buckden railway station		Buckden railway station
Q5025527	Cambridge Science Park railway station		Cambridge North railway station
Q5092541	Cherryhinton railway station		Cherryhinton railway station
Q5325687	Earith Bridge railway station		Earith Bridge railway station
Q5507791	Fulbourn railway station		Fulbourn railway station
Q5520252	Gamlingay railway station		Gamlingay railway station
Q5576744	Godmanchester railway station		Godmanchester railway station
Q5637654	Haddenham railway station		Haddenham railway station
Q5673991	Harston railway station		Harston railway station
Q5945150	Huntingdon railway station		Huntingdon railway station
Q6673245	Long Stanton railway station		Long Stanton railway station
Q7073924	Oakington railway station		Oakington railway station
Q7079643	Offord and Buckden railway station		Offord and Buckden railway station
Q7084635	Old North Road railway station		Old North Road railway station
Q7559932	Somersham railway station		Somersham railway station
Q7593402	St Ives (Cambridgeshire) railway station		St Ives (Cambridgeshire) railway station
Q7623511	Stretham railway station		Stretham railway station
Q7650356	Sutton railway station		Sutton railway station (Cambridgeshire)
Q7652928	Swaffham Prior railway station		Swaffham Prior railway station
Q7654067	Swavesey railway station		Swavesey railway station
Q7968850	Warboys railway station		Warboys railway station
Q8000275	Wilburton railway station		Wilburton railway station
Q15224233	Histon railway station		Histon railway station
Q15242876	Lord's Bridge railway station		Lord's Bridge railway station
