#Item	Label	Description	Site on enwiki
Q678990	Dunston railway station		Dunston railway station
Q2007937	Cramlington railway station		Cramlington railway station
Q2047417	Newcastle railway station	mainline railway station in Newcastle upon Tyne, England	Newcastle railway station
Q2155219	Blaydon railway station		Blaydon railway station
Q2298662	Prudhoe railway station		Prudhoe railway station
Q2365388	Riding Mill railway station		Riding Mill railway station
Q2367499	Heworth	metro and bus station in Tyne & Wear	Heworth Interchange
Q2371813	Stocksfield railway station		Stocksfield railway station
Q2536803	Wylam railway station		Wylam railway station
Q2642125	Chester-le-Street railway station		Chester-le-Street railway station
Q2772409	Manors railway station		Manors railway station
Q2781169	MetroCentre railway station		MetroCentre railway station
Q4698923	Airport	metro station serving Newcastle Airport	Airport Metro station (Tyne and Wear)
Q4769153	Annfield Plain railway station		Annfield Plain railway station
Q4769544	Annitsford railway station		Annitsford railway station
Q4839856	Backworth railway station		Backworth railway station
Q4879040	Bede	metro station in Tyne & Wear	Bede Metro station
Q4890212	Bensham railway station		Bensham railway station
Q4890591	Benton	metro station in Tyne & Wear	Benton Metro station
Q4972838	Brockley Whins	metro station in Tyne & Wear	Brockley Whins Metro station
Q5004101	Byker	metro station in Tyne & Wear	Byker Metro station
Q5004104	Byker railway station		Byker railway station
Q5021911	Callerton Parkway	metro station in Tyne & Wear	Callerton Parkway Metro station
Q5061864	Central Station	metro station in Tyne & Wear	Central Station Metro station
Q5096006	Chichester	metro station in Tyne & Wear	Chichester Metro station
Q5099070	Chillingham Road	metro station in Tyne & Wear	Chillingham Road Metro station
Q5193013	Cullercoats	metro station in Tyne & Wear	Cullercoats Metro station
Q5327886	East Boldon	metro station in Tyne & Wear	East Boldon Metro station
Q5367774	Elswick railway station		Elswick railway station
Q5438738	Fawdon	Metro station in Tyne & Wear	Fawdon Metro station
Q5442459	Fellgate	metro station in Tyne & Wear	Fellgate Metro station
Q5442471	Felling	metro station in Tyne & Wear	Felling Metro station
Q5475273	Four Lane Ends	metro station in Tyne & Wear	Four Lane Ends Interchange
Q5527160	Gateshead	metro and bus station in Tyne & Wear	Gateshead Interchange
Q5527162	Gateshead Stadium	metro station in Tyne & Wear	Gateshead Stadium Metro station
Q5527174	Gateshead railway station		Gateshead railway station
Q5638057	Hadrian Road	metro station in Tyne & Wear	Hadrian Road Metro station
Q5686995	Haymarket	metro station in Tyne & Wear	Haymarket Metro station
Q5694447	Heaton railway station		Heaton railway station
Q5695378	Hebburn	metro station in Tyne & Wear	Hebburn Metro station
Q5921466	Howdon	metro station in Tyne & Wear	Howdon Metro station
Q5997749	Ilford Road	metro station in Tyne & Wear	Ilford Road Metro station
Q6392072	Kenton Bank railway station		Kenton Bank railway station
Q6413575	Kingston Park	metro station in Tyne & Wear	Kingston Park Metro station
Q6554941	Lintz Green railway station		Lintz Green railway station
Q6673608	Longbenton	metro station in Tyne & Wear	Longbenton Metro station
Q6692864	Low Fell railway station		Low Fell railway station
Q6751440	Manors	metro station in Tyne & Wear	Manors Metro station
Q6803296	Meadow Well	metro station in Tyne & Wear	Meadow Well Metro station
Q6900966	Monkseaton	metro station in Tyne & Wear	Monkseaton Metro station
Q6906821	Monument	metro station in Tyne & Wear	Monument Metro station
Q7017204	Newburn railway station		Newburn railway station
Q7056635	North Shields	metro station in Tyne & Wear	North Shields Metro station
Q7059817	Northumberland Park	metro station in Tyne & Wear	Northumberland Park Metro station
Q7127895	Pallion	metro station in Tyne & Wear	Pallion Metro station
Q7128339	Palmersville	metro station in Tyne & Wear	Palmersville Metro station
Q7161216	Pelaw	metro station in Tyne & Wear	Pelaw Metro station
Q7167470	Percy Main	metro station in Tyne & Wear	Percy Main Metro station
Q7208137	Point Pleasant railway station		Point Pleasant railway station
Q7308079	Regent Centre	metro and bus station in Tyne & Wear	Regent Centre Interchange
Q7435818	Scotswood railway station		Scotswood railway station
Q7498547	Shiremoor	metro station in Tyne & Wear	Shiremoor Metro station
Q7520496	Simonside	metro station in Tyne & Wear	Simonside Metro station
Q7567374	South Gosforth	metro station in Tyne & Wear	South Gosforth Metro station
Q7567520	South Hylton	metro station in Tyne & Wear	South Hylton Metro station
Q7568421	South Shields	metro station in Tyne & Wear	South Shields Metro station
Q7568426	South Shields railway station	former railway station in South Shields	South Shields railway station
Q7593500	St James	metro station in Tyne & Wear	St James Metro station
Q7600132	Stannington railway station		Stannington railway station
Q7860483	Tyne Dock	metro station in Tyne & Wear	Tyne Dock Metro station
Q7860525	Tynemouth	metro station in Tyne & Wear	Tynemouth Metro station
Q7962349	Walker railway station		Walker railway station
Q7963252	Wallsend	metro station in Tyne & Wear	Wallsend Metro station
Q7968068	Wansbeck Road	metro station in Tyne & Wear	Wansbeck Road Metro station
Q7985584	West Jesmond	metro station in Tyne & Wear	West Jesmond Metro station
Q7986013	West Monkseaton	metro station in Tyne & Wear	West Monkseaton Metro station
Q7986583	West Stanley railway station		West Stanley railway station
Q7996558	Whitley Bay	metro station in Tyne & Wear	Whitley Bay Metro station
Q12060867	Jesmond	metro station in Tyne & Wear	Jesmond Metro station
Q12072427	Walkergate	metro station in Tyne & Wear	Walkergate Metro station
Q15211527	Consett railway station		Consett railway station
